Date,Open,High,Low,Close,Volume,Price_Change,Percentage_Change,Average_Price,Range
2023-08-25,3.86,3.86,3.81,3.82,5788280,-0.040000000000000036,-1.0362694300518145,3.835,0.04999999999999982
2023-08-24,3.85,3.86,3.83,3.84,5270063,-0.010000000000000231,-0.2597402597402657,3.8449999999999998,0.029999999999999805
2023-08-23,3.86,3.87,3.83,3.84,5201597,-0.020000000000000018,-0.5181347150259072,3.85,0.040000000000000036
2023-08-22,3.86,3.87,3.78,3.85,7561909,-0.009999999999999787,-0.25906735751294785,3.825,0.0900000000000003
2023-08-21,3.88,3.89,3.85,3.85,6388204,-0.029999999999999805,-0.7731958762886548,3.87,0.040000000000000036
2023-08-18,3.89,3.91,3.87,3.87,5693472,-0.020000000000000018,-0.5141388174807203,3.89,0.040000000000000036
2023-08-17,3.91,3.91,3.88,3.88,4816610,-0.03000000000000025,-0.7672634271099807,3.895,0.03000000000000025
2023-08-16,3.93,3.94,3.88,3.89,6739337,-0.040000000000000036,-1.0178117048346065,3.91,0.06000000000000005
2023-08-15,3.9,3.94,3.9,3.92,6111083,0.020000000000000018,0.5128205128205132,3.92,0.040000000000000036
2023-08-14,3.93,3.95,3.86,3.87,5956699,-0.06000000000000005,-1.5267175572519098,3.9050000000000002,0.0900000000000003
2023-08-11,3.9,3.96,3.9,3.93,6259777,0.03000000000000025,0.7692307692307756,3.9299999999999997,0.06000000000000005
2023-08-10,3.88,3.91,3.87,3.9,7316946,0.020000000000000018,0.5154639175257737,3.89,0.040000000000000036
2023-08-09,3.88,3.92,3.87,3.88,5726516,0.0,0.0,3.895,0.04999999999999982
2023-08-08,3.92,3.92,3.86,3.86,8907709,-0.06000000000000005,-1.5306122448979604,3.8899999999999997,0.06000000000000005
2023-08-07,3.9,3.92,3.87,3.91,5749523,0.010000000000000231,0.2564102564102623,3.895,0.04999999999999982
2023-08-04,3.91,3.93,3.9,3.9,4791735,-0.010000000000000231,-0.2557544757033307,3.915,0.03000000000000025
2023-08-03,3.94,3.95,3.9,3.9,7951805,-0.040000000000000036,-1.0152284263959401,3.925,0.050000000000000266
2023-08-02,3.94,3.98,3.93,3.94,6245861,0.0,0.0,3.955,0.04999999999999982
2023-08-01,3.92,3.94,3.91,3.94,5042083,0.020000000000000018,0.5102040816326535,3.925,0.029999999999999805
2023-07-31,3.94,3.94,3.9,3.9,9603907,-0.040000000000000036,-1.0152284263959401,3.92,0.040000000000000036
2023-07-28,3.93,3.96,3.92,3.93,5440494,0.0,0.0,3.94,0.040000000000000036
2023-07-27,3.98,3.98,3.93,3.93,5075361,-0.04999999999999982,-1.2562814070351713,3.955,0.04999999999999982
2023-07-26,3.99,3.99,3.95,3.97,5912545,-0.020000000000000018,-0.5012531328320806,3.97,0.040000000000000036
2023-07-25,4.0,4.02,3.96,3.96,8141340,-0.040000000000000036,-1.0000000000000009,3.9899999999999998,0.05999999999999961
2023-07-24,3.96,4.0,3.96,4.0,5422818,0.040000000000000036,1.010101010101011,3.98,0.040000000000000036
2023-07-20,4.0,4.0,3.93,3.97,6158903,-0.029999999999999805,-0.7499999999999951,3.965,0.06999999999999984
2023-07-19,4.02,4.04,3.96,3.97,6245491,-0.04999999999999938,-1.2437810945273478,4.0,0.08000000000000007
2023-07-18,4.03,4.03,4.0,4.02,4222546,-0.010000000000000675,-0.24813895781639392,4.015000000000001,0.03000000000000025
2023-07-17,4.03,4.05,3.99,4.0,5266150,-0.03000000000000025,-0.7444168734491377,4.02,0.05999999999999961
2023-07-14,4.01,4.04,4.01,4.04,5369049,0.03000000000000025,0.7481296758104801,4.025,0.03000000000000025
2023-07-13,4.04,4.04,3.99,4.01,5741383,-0.03000000000000025,-0.7425742574257487,4.015000000000001,0.04999999999999982
2023-07-12,3.99,4.06,3.98,4.0,9918972,0.009999999999999787,0.25062656641603476,4.02,0.07999999999999963
2023-07-11,3.98,4.04,3.97,3.99,8075742,0.010000000000000231,0.251256281407041,4.005,0.06999999999999984
2023-07-10,3.96,3.98,3.96,3.98,5641488,0.020000000000000018,0.5050505050505055,3.9699999999999998,0.020000000000000018
2023-07-07,3.98,4.0,3.96,3.96,4148854,-0.020000000000000018,-0.5025125628140708,3.98,0.040000000000000036
2023-07-06,3.96,4.0,3.95,3.97,8989315,0.010000000000000231,0.25252525252525837,3.975,0.04999999999999982
2023-07-05,3.92,3.97,3.9,3.96,9324972,0.040000000000000036,1.020408163265307,3.935,0.07000000000000028
2023-07-04,3.9,3.92,3.89,3.89,7563678,-0.009999999999999787,-0.25641025641025095,3.9050000000000002,0.029999999999999805
2023-07-03,3.94,3.94,3.89,3.89,10342140,-0.04999999999999982,-1.2690355329949194,3.915,0.04999999999999982
2023-06-26,3.97,3.97,3.9,3.9,8280582,-0.07000000000000028,-1.7632241813602085,3.935,0.07000000000000028
2023-06-23,3.97,3.98,3.94,3.95,4227081,-0.020000000000000018,-0.5037783375314866,3.96,0.040000000000000036
2023-06-22,3.96,3.96,3.94,3.96,3528413,0.0,0.0,3.95,0.020000000000000018
2023-06-21,3.98,3.98,3.94,3.96,5085532,-0.020000000000000018,-0.5025125628140708,3.96,0.040000000000000036
2023-06-20,3.96,3.98,3.95,3.98,5671683,0.020000000000000018,0.5050505050505055,3.965,0.029999999999999805
